date,a00,a02,a05,a10,a15,a30,a45,a60,t00,t02,t05,t10,t15,t30,t45,t60,tsum
20070516,723678,12641,2978,0,0,0,0,0,0,1,1,0,0,0,0,0,2
20070517,739297,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20070518,730954,8343,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
20070519,736228,3069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070520,733924,5373,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20070521,724418,14879,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
20070522,729033,7783,1611,870,0,0,0,0,1,1,1,4,0,0,0,0,7
20070523,720688,11596,4338,2675,0,0,0,0,1,0,1,15,0,0,0,0,17
20070524,730027,9270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070525,730932,8365,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3
20070526,726629,9834,2834,0,0,0,0,0,1,3,1,0,0,0,0,0,5
20070527,735859,3438,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
20070528,717906,16717,4674,0,0,0,0,0,1,1,0,0,0,0,0,0,2
20070529,726209,7961,5127,0,0,0,0,0,0,3,1,0,0,0,0,0,4
20070530,728270,11027,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
20070531,716277,11508,11512,0,0,0,0,0,0,2,9,0,0,0,0,0,11
20070601,715125,16057,8115,0,0,0,0,0,2,3,7,0,0,0,0,0,12
20070602,710973,22951,5373,0,0,0,0,0,2,0,8,0,0,0,0,0,10
20070603,709678,23001,6618,0,0,0,0,0,4,5,4,0,0,0,0,0,13
20070604,705272,34025,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
20070605,708304,30993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070606,673958,33890,25144,6305,0,0,0,0,0,3,1,1,0,0,0,0,5
20070607,391056,0,312596,18429,11630,5586,0,0,0,0,3,3,0,6,0,0,12
20070608,706258,23643,9396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20070609,733564,5733,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
20070610,723760,15537,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
